address,agent,baths_full,baths_half,bedrooms,broker,city,garage,lot_size,photos,price,property_type,sqft,zip_code
315 Garfield Dr,1301728,2,1,4,1280142,Bloomington,2,-1.0,30,159900,Single Family Home,1835,61701
107 Ruth Rd,1416095,2,1,5,1571726,Bloomington,2,-1.0,30,209900,Single Family Home,4396,61701
3020 E Oakland Ave,2267191,3,0,3,1280142,Bloomington,3,43560.0,28,319900,Single Family Home,3444,61704
2205 Gravenhurst Dr,1855850,3,0,5,1280142,Bloomington,2,-1.0,28,192500,Single Family Home,2720,61705
3314 Barrington Rd,1222389,2,2,4,1280142,Bloomington,3,-1.0,28,244900,Single Family Home,3767,61704
12 Lone Oak Ct,523649,2,1,4,1295017,Bloomington,2,-1.0,26,188900,Single Family Home,2829,61705
1301 Mount Vernon Dr,523649,1,0,3,1295017,Bloomington,2,-1.0,23,114900,Single Family Home,1844,61704
3106 Wisteria Ln,692040,3,1,5,1295017,Bloomington,3,-1.0,30,347900,Single Family Home,4563,61704
2109 Foxtail Rd,111130,3,1,3,1207437,Bloomington,3,-1.0,30,384900,Single Family Home,5098,61704
3605 Matthew Dr,1263684,3,1,5,1571726,Bloomington,3,-1.0,27,314900,Single Family Home,3894,61704
2806 Hubbard Dr,1329957,4,1,5,1571726,Bloomington,3,-1.0,30,359900,Single Family Home,4740,61704
1107 Woodbury Pl,159571,2,0,4,1571726,Bloomington,1,-1.0,24,104900,Single Family Home,1920,61701
11 Brookline Ct,1207563,3,1,5,1207437,Bloomington,3,-1.0,23,319900,Single Family Home,3909,61705
1219 E Oakland Ave,1887422,2,0,2,1571726,Bloomington,2,-1.0,21,114900,Single Family Home,1880,61701
1010 Arlene Ct,-1,2,0,2,-1,Bloomington,1,-1.0,17,79000,Condo/Townhome/Row Home/Co-Op,952,61701
1306 W Wood St,1544358,2,0,3,-1,Bloomington,-1,-1.0,17,85500,Single Family Home,1082,61701
9 Brookline Ct,1295089,3,1,4,1295017,Bloomington,3,-1.0,30,325000,Single Family Home,3666,61705
2207 Yarrow St,29336,3,1,4,1571726,Bloomington,3,-1.0,30,399900,Single Family Home,4389,61704
419 Willard Ave,1292818,1,1,3,1295017,Bloomington,2,-1.0,30,147900,Single Family Home,2430,61701
3103 Carrington Ln,7995,3,1,5,3054550,Bloomington,3,-1.0,30,325000,Single Family Home,4336,61705
1222 Riviera Rd,21881,2,1,3,1571726,Bloomington,2,-1.0,24,129900,Single Family Home,1969,61701
26061 Rainbow,515817,3,0,4,1207437,Bloomington,2,-1.0,12,174900,Condo/Townhome/Row Home/Co-Op,3054,61704
1613 Six Points Rd,2705739,1,0,4,-1,Bloomington,2,523155.6,1,289000,Single Family Home,2100,61701
2807 Park Ridge Rd,1416095,2,1,4,1571726,Bloomington,3,-1.0,30,264900,Single Family Home,4042,61704
3120 Providence Dr,7995,2,1,4,3054550,Bloomington,2,-1.0,30,223500,Single Family Home,3493,61704
5 Currie Ct,1231308,3,1,5,1295017,Bloomington,3,-1.0,30,349900,Single Family Home,4623,61704
4 Flint Ct,43657,4,1,5,1207437,Bloomington,3,-1.0,30,550000,Single Family Home,4839,61705
2402 Hillsboro Dr,1329957,2,1,4,1571726,Bloomington,3,-1.0,29,284900,Single Family Home,3899,61704
14 Foley Ave,1805631,1,0,3,1571726,Bloomington,1,-1.0,8,110000,Single Family Home,2184,61701
508 W Wood St,1033282,0,0,3,1207437,Bloomington,-1,-1.0,3,109900,Multi-Family Home,3940,61701
1710 Wildwood Rd,1301728,1,0,3,1280142,Bloomington,1,-1.0,1,89000,Single Family Home,990,61704
2803 Greenfield Rd,1117728,3,1,5,1571726,Bloomington,2,-1.0,30,289900,Single Family Home,4108,61704
403 Cheshire Dr Unit A,1101631,2,1,2,712753,Bloomington,2,-1.0,30,154900,Condo/Townhome/Row Home/Co-Op,2935,61704
608 E Mulberry St,159571,2,0,5,1571726,Bloomington,3,-1.0,30,139900,Single Family Home,3193,61701
13765 Fawn Ct,748021,3,1,5,1207437,Bloomington,3,28314.0,30,349900,Single Family Home,4470,61705
1315 Fell Ave,29336,2,1,3,1571726,Bloomington,2,-1.0,30,179900,Single Family Home,3060,61701
2501 Wirsing Way,1501366,3,0,3,3054550,Bloomington,3,-1.0,29,230000,Single Family Home,3268,61704
2914 Bardwell Rd,1231308,2,1,3,1295017,Bloomington,2,-1.0,23,212900,Single Family Home,2967,61704
404 N Robinson St,1265113,1,1,2,1571726,Bloomington,1,-1.0,21,89900,Single Family Home,1418,61701
2310 Timber View Dr,1345180,2,1,3,-1,Bloomington,2,-1.0,20,178000,Single Family Home,2900,61701
1207 Fell Ave,423198,1,1,3,-1,Bloomington,2,-1.0,19,114000,Single Family Home,3368,61701
2915 Conlor Dr,523649,2,0,3,1295017,Bloomington,2,9148,17,204900,Single Family Home,2926,61704
3308 Peppertree Ln,1450930,3,1,4,1571726,Bloomington,3,-1.0,30,247900,Single Family Home,3192,61704
1 Swayze Ct,1345180,3,1,4,-1,Bloomington,3,-1.0,28,304900,Single Family Home,3564,61705
