,address,agent,baths_full,baths_half,bedrooms,broker,city,garage,lot_size,photos,price,property_type,sqft,zip_code
182,3 Navajo Ct,1855850,2,1,3,1280142,Bloomington,2,-1.0,28,167500,Single Family Home,2236.0,61704
183,2006 Clearwater Ave,1207570,2,0,3,1207437,Bloomington,1,-1.0,16,129900,Single Family Home,2770.0,61704
184,3503 Wegeng Dr,283157,1,0,2,1207437,Bloomington,2,-1.0,16,147990,Single Family Home,1224.0,61704
185,3514 Armstrong Dr,1653756,4,1,5,712753,Bloomington,3,-1.0,30,349997,Single Family Home,4524.0,61704
186,2821 Arrowhead Dr,4783,2,1,3,1571726,Bloomington,2,-1.0,30,215000,Single Family Home,3300.0,61704
187,20 Aspen Ct,5296,3,0,2,1571726,Bloomington,2,-1.0,30,254900,Single Family Home,3468.0,61704
188,2811 Vrooman Ct,955915,3,1,5,712753,Bloomington,3,-1.0,30,449900,Single Family Home,4384.0,61704
190,2715 Piney Run,1279681,3,1,3,1571726,Bloomington,2,-1.0,30,299900,Single Family Home,3984.0,61705
191,712 E Buchanan St,4500,2,0,4,1571726,Bloomington,2,-1.0,28,140000,Single Family Home,1532.0,61701
192,1610 S Madison St,2263231,1,1,3,1207437,Bloomington,1,-1.0,22,114000,Single Family Home,1800.0,61701
193,2008 Sinclair Ct,1440163,3,1,5,1571726,Bloomington,3,-1.0,22,399900,Single Family Home,4027.0,61704
194,1303 W Jackson St,1295083,2,0,2,1295017,Bloomington,1,-1.0,13,59900,Single Family Home,1811.0,61701
195,29 Crista Ann Ct,1231319,2,0,2,1295017,Bloomington,2,-1.0,1,288500,Single Family Home,3570.0,61704
196,2104 Berrywood Ln,1207544,3,1,4,1207437,Bloomington,2,-1.0,30,264900,Single Family Home,4114.0,61704
197,9 Kenfield Cir,425443,3,0,4,1571726,Bloomington,2,-1.0,27,174900,Single Family Home,1570.0,61704
198,8130 E 1000 North Rd,1207553,1,0,3,712753,Bloomington,2,52707.6,18,159900,Single Family Home,2226.0,61705
199,1306 Beverly Ln,192211,1,0,2,1280142,Bloomington,1,-1.0,16,95000,Single Family Home,785.0,61701
200,9899 Old Sawmill Rd,591989,4,0,5,1280142,Bloomington,3,45302.4,30,460000,Single Family Home,5586.0,61705
